id,from,to,voltage,reactance,resistance,circuits,pmax
564,154,12,220,2.490670481,0.45921737,1,490
565,434,436,220,10.22089023,1.884476636,1,490
566,366,362,220,14.75594652,2.72062764,2,490
567,183,184,220,5.105201567,0.941271539,1,490
568,168,186,220,4.228708554,0.77966814,1,490
569,256,255,220,2.320350644,0.42781465,2,490
570,105,178,220,3.20046099,0.590084995,1,490
571,89,10,220,3.733429978,0.688351152,1,490
572,203,213,220,10.63409818,1.960661853,1,490
573,249,250,220,4.387050339,0.808862406,2,490
574,270,275,220,12.33701746,2.274637595,2,490
575,92,156,220,5.723487248,1.055267961,2,490
576,381,382,220,4.821914581,0.889040501,2,490
577,266,267,220,9.287069392,1.712303419,1,490
578,251,259,220,8.575235207,1.581058991,1,490
579,375,420,220,62.44873856,11.51398617,2,490
580,379,377,220,5.145344314,0.948672858,1,490
581,178,156,220,12.08348694,2.227892905,1,490
582,348,349,220,5.8940833,1.086721608,2,490
583,111,103,220,5.78893837,1.067335512,2,490
584,427,423,220,15.66013755,2.88733786,2,490
585,205,211,220,6.358745376,1.172393679,1,490
586,413,426,220,3.705215395,0.683149088,1,490
587,236,188,220,23.62582495,4.356011475,1,490
588,268,267,220,15.73435313,2.901021358,2,490
589,400,397,220,11.07223966,2.041444187,2,490
590,204,207,220,4.308036991,0.79429432,2,490
591,62,178,220,7.030426844,1.296234949,1,490
592,309,306,220,12.64050244,2.330592638,2,490
593,215,61,220,12.44381962,2.294329243,2,490
594,179,105,220,16.61199197,3.06283602,2,490
595,108,185,220,6.67715764,1.23110094,1,490
596,364,363,220,2.92165154,0.538679503,2,490
597,203,215,220,10.2467003,1.889235367,1,490
598,104,116,220,14.0732809,2.594761167,1,490
599,421,420,220,13.35782664,2.462849287,2,490
600,133,379,220,3.413244432,0.629316942,2,490
601,131,264,220,6.4892924,1.196463286,2,490
602,202,392,220,14.95518724,2.757362648,1,490
603,183,179,220,10.67841191,1.968832196,1,490
604,58,259,220,1.029375223,0.189791057,2,490
605,339,340,220,10.42033144,1.921248609,2,490
606,238,242,220,1.964725163,0.362246202,2,490
607,234,235,220,6.619915922,1.220546998,2,490
608,163,173,220,7.845940166,1.446595218,2,490
609,115,101,220,3.673609999,0.677321844,1,490
610,249,250,220,4.397761428,0.810837263,2,490
611,110,173,220,1.273730912,0.234844137,1,490
612,402,126,220,2.862253799,0.527728044,2,490
614,198,31,220,1.397800734,0.25771951,2,490
615,173,105,220,18.31615449,3.377040984,2,490
616,221,222,220,4.938153249,0.910472005,2,490
617,318,316,220,23.80005997,4.388136058,1,490
618,303,304,220,23.14169138,4.266749348,2,490
619,222,219,220,10.46436522,1.929367338,2,490
620,322,233,220,36.78492883,6.782221253,2,490
622,289,290,380,4.814477177,0.555516597,1,1700
623,331,332,220,5.237993466,0.965755045,2,490
624,408,405,220,18.27744803,3.369904481,2,490
625,199,30,220,12.12839865,2.236173501,2,490
626,303,306,220,9.901316468,1.825555224,2,490
627,264,263,380,0.717346466,0.082770746,2,1700
628,70,71,220,0.144269678,0.026599722,1,490
629,83,100,220,2.855958982,0.526567437,1,490
630,249,30,220,6.650819034,1.226244759,2,490
631,313,314,220,7.783165347,1.435021111,2,490
632,234,29,220,0.856820838,0.157976342,2,490
633,436,427,220,20.10165505,3.70624265,2,490
634,19,118,220,8.21584047,1.514795587,1,490
635,158,97,220,3.362685634,0.619995164,2,490
636,91,11,220,3.185662192,0.587356467,1,490
637,25,242,220,5.684111336,1.048008028,2,490
638,89,156,220,4.184836111,0.771579158,1,490
639,84,158,220,2.89833194,0.534379951,2,490
640,346,345,220,8.91337539,1.643403588,2,490
641,382,221,220,29.39453162,5.419616768,1,490
642,403,126,220,1.79096353,0.330208901,2,490
643,28,234,220,3.299998602,0.608437242,2,490
644,137,420,220,28.71049695,5.293497875,1,490
645,436,437,220,20.27926293,3.738989103,2,490
646,104,173,220,1.707583133,0.31483564,1,490
647,322,323,220,12.66080315,2.334335581,2,490
648,375,374,220,6.553609238,1.208321703,2,490
649,64,63,220,0.971200071,0.179065013,1,490
650,421,418,220,21.0045477,3.872713481,2,490
651,426,410,220,7.681300845,1.416239843,2,490
